,Sr. No. ,Sample No. ,Location,Red (R.),Green (G),Blue (B),White (W),Conc. (%),RT-PCR
186,,,Pimple Gurav,0.061660000000000006,0.08166,0.09403999999999998,0.0632,0.71404,Negative
188,28.0,22,Pimpri,0.121,0.1781,0.2152,0.132,1.5625,Positive
189,,,Pimpri,0.1416,0.1782,0.2236,0.1353,1.5625,Positive
190,,,Pimpri,0.1344,0.1823,0.2181,0.1561,1.5938,Positive
191,,,Pimpri,0.139,0.1779,0.2244,0.1483,1.5547,Positive
192,,,Pimpri,0.1382,0.1784,0.2136,0.1411,1.5625,Positive
193,,,Pimpri,0.13484000000000002,0.17897999999999997,0.21898,0.14256,1.5672000000000001,Positive
195,29.0,23,Chinchwad,0.0236,0.0262,0.0311,0.005,0.2295,Negative
196,,,Chinchwad,0.0277,0.0272,0.0302,0.0045,0.2383,Negative
197,,,Chinchwad,0.0303,0.0262,0.0261,0.0035,0.2295,Negative
198,,,Chinchwad,0.0266,0.0255,0.0241,0.0038,0.2227,Negative
199,,,Chinchwad,0.0244,0.0269,0.0277,0.0043,0.2354,Negative
200,,,Chinchwad,0.02652,0.0264,0.027839999999999997,0.00422,0.23108,Negative
202,30.0,24,Kasarwadi,0.0884,0.14,0.2045,0.0946,1.2266,Positive
203,,,Kasarwadi,0.0917,0.1405,0.2056,0.0953,1.2266,Positive
204,,,Kasarwadi,0.0882,0.1396,0.2047,0.0951,1.2188,Positive
205,,,Kasarwadi,0.0803,0.1406,0.2042,0.0965,1.2266,Positive
206,,,Kasarwadi,0.0872,0.1412,0.2055,0.0941,1.2344,Positive
207,,,Kasarwadi,0.08715999999999999,0.14038,0.2049,0.09512000000000001,1.2266,Positive
209,31.0,(14/02/2022),Blank,0.0019,0.0006,0.0004,0.0002,0.005,
210,,,Blank,0.0031,0.0001,0.0,0.0002,0.0009,
211,,,Blank,0.002,0.0002,0.0,0.0,0.0018,
212,,,Blank,0.0018,0.0002,0.0,0.0,0.002,
213,,,Blank,0.0024,0.0002,0.0,0.0003,0.0014,
214,,,Blank,0.00224,0.00026000000000000003,8e-05,0.00014,0.00222,
216,32.0,,Blank (cuvette),0.0609,0.0746,0.0819,0.0799,0.6523,
217,,,Blank (cuvette),0.0652,0.0744,0.0826,0.0803,0.6523,
218,,,Blank (cuvette),0.0675,0.0742,0.0817,0.0826,0.6484,
219,,,Blank (cuvette),0.0671,0.0739,0.0827,0.0794,0.6445,
220,,,Blank (cuvette),0.0697,0.0742,0.0814,0.079,0.6484,
221,,,Blank (cuvette),0.06608,0.07426,0.08206,0.08024,0.64918,
223,33.0,6,Shivajinagar,0.1361,0.1702,0.2123,0.1501,1.4922,Positive
224,,,Shivajinagar,0.1066,0.1698,0.2115,0.1686,1.4844,Positive
225,,,Shivajinagar,0.1287,0.1706,0.2124,0.1252,1.4922,Positive
226,,,Shivajinagar,0.1208,0.1694,0.2112,0.1439,1.4844,Positive
227,,,Shivajinagar,0.1086,0.1696,0.2107,0.1516,1.4844,Positive
228,,,Shivajinagar,0.12016,0.16992,0.21162,0.14788,1.48752,Positive
230,34.0,5,Shivaji nagar (Chaturshringhi),0.1161,0.1698,0.2106,0.1458,1.4844,Positive
231,,,Shivaji nagar (Chaturshringhi),0.1203,0.1698,0.2116,0.1591,1.4844,Positive
232,,,Shivaji nagar (Chaturshringhi),0.1368,0.1701,0.2101,0.1607,1.4922,Positive
